Global Variable Usage Frequency (All Globals)
================================================================================

DAT_10016690         :   97 uses
DAT_10017500         :   32 uses
DAT_100175b0         :   32 uses
DAT_100175ac         :   31 uses
DAT_100175a4         :   29 uses
DAT_0e3f2368         :   21 uses
DAT_10006e20         :   21 uses
DAT_10009e40         :   21 uses
DAT_10016b94         :   19 uses
DAT_10016660         :   17 uses
DAT_10009524         :   17 uses
DAT_10009520         :   17 uses
DAT_10016f00         :   16 uses
DAT_100174a8         :   13 uses
DAT_100174ac         :   13 uses
DAT_10000184         :   13 uses
DAT_1000018c         :   13 uses
DAT_10016e4c         :   13 uses
DAT_10016ec0         :   13 uses
DAT_10016654         :   12 uses
DAT_10006eb4         :   12 uses
DAT_10007988         :   12 uses
DAT_10017414         :   12 uses
DAT_10016664         :   11 uses
DAT_10016648         :   11 uses
DAT_10000020         :   11 uses
DAT_100079c0         :   11 uses
DAT_10009660         :   11 uses
DAT_10017418         :   11 uses
DAT_100174b0         :   10 uses
DAT_1001665c         :   10 uses
DAT_10017598         :   10 uses
DAT_10017594         :   10 uses
DAT_10016b6c         :   10 uses
DAT_10016b70         :   10 uses
DAT_10016b74         :   10 uses
DAT_10016b78         :   10 uses
DAT_10016b7c         :   10 uses
DAT_10016b80         :   10 uses
DAT_10016c0c         :   10 uses
DAT_10016c70         :   10 uses
DAT_10008940         :   10 uses
DAT_10016edc         :   10 uses
DAT_100174b8         :    9 uses
DAT_10016650         :    9 uses
DAT_100001f4         :    9 uses
DAT_1001759c         :    9 uses
DAT_10016bd0         :    9 uses
DAT_10017518         :    9 uses
DAT_10016e10         :    9 uses
DAT_10016688         :    8 uses
DAT_10000158         :    8 uses
DAT_10017504         :    8 uses
DAT_100166b8         :    8 uses
DAT_10017495         :    8 uses
DAT_10016ba0         :    8 uses
DAT_10016b98         :    8 uses
DAT_10016b84         :    8 uses
DAT_10016b88         :    8 uses
DAT_10016b9c         :    8 uses
DAT_10016b8c         :    8 uses
DAT_10016b90         :    8 uses
DAT_10016bfc         :    8 uses
DAT_10016c38         :    8 uses
DAT_10006fa0         :    8 uses
DAT_10006fb0         :    8 uses
DAT_10016f08         :    8 uses
DAT_10016f04         :    8 uses
DAT_10016f05         :    8 uses
DAT_10016ef8         :    8 uses
